keyword,title,link,summary,date
LG 에너지솔루션,"“놀라운 반전, 역시 형이야”…예상 뛰어넘은 실적에 주가 모터 달았다",https://www.mk.co.kr/article/11058070," 배터리 대장주 LG에너지솔루션은 전날 대비 4.22%오른 35만8000원에 거래를 마쳤고, 시총 30조원의 POSCO홀딩스도 1.37% 오르면서 37만500원에 마감했다. 양극재 대장주인 에코프로비엠과 에코프로는 각각 4.66%와 7.67%의 상승률을 기록했다. 특히 엘앤에프는 주가가 9.22% 오르면서 올해 들어 가장 큰 폭으로... ",2024-07-03
LG 에너지솔루션,"현대차그룹, 인도네시아에 '배터리셀-전기차 생산체제' 구축",http://news.tf.co.kr/read/economy/2112508.htm," 한국 정부에서는 정인교 통상교섭본부장, 이상덕 주인도네시아 대사 등이 참석했으며 현대차그룹과 LG그룹에서는 정의선 현대차그룹 회장, 장재훈 현대차 사장, 김동명 LG에너지솔루션 사장 등이 자리를 빛냈다. 특히 조코 위도도 대통령은 행사장에서 HLI그린파워에서 생산된 배터리셀을 배터리 모듈과... ",2024-07-03
LG 에너지솔루션,"현대차그룹, 인도네시아서 배터리셀-전기차 생산체제 구축",https://weekly.hankooki.com/news/articleView.html?idxno=7091105, 현대차그룹은 LG에너지솔루션과 합작한 배터리셀 공장 'HLI그린파워'를 준공했다고 3일 밝혔다. 현대차 인도네시아공장은 HLI그린파워에서 생산한 배터리셀을 장착해 '디 올 뉴 코나 일렉트릭' 양산을 시작한다. 이에 현대차그룹은 인도네시아 최초로 전기차 배터리셀부터 완성차까지 현지에서 일괄 생산... ,2024-07-03
LG 에너지솔루션,"국내 배터리 3사, 1~5월 배터리 사용량 늘었다",http://www.fnnews.com/news/202407030941035965, LG에너지솔루션은 전년 동기 대비 5.6% (35.9GWh) 성장하며 전체 3위를 기록했다. 삼성SDI는 26.8%(13.7GWh)의 성장률을 기록하며 4위에 올랐다. SK온도 4.2%(13.9GWh) 늘었다. 다만 시장 자체가 커지면서 국내 3사의 점유율은 전년 동기 대비 2.8%p 하락한 22.3%를 기록했다. 글로벌 전기차 배터리 사용량이 1년 전... ,2024-07-03
LG 에너지솔루션,"비상경영 K배터리 ""삼원계 대신 LFP""",https://it.chosun.com/news/articleView.html?idxno=2023092118805," LG에너지솔루션도 투자 자금 조달을 위해 최근 외화채 20억달러를 발행했고, 미 애리조나주 ESS 공장 건설도 일시 중단한 상태다. 배터리 업계가 이렇듯 비상 경영을 펼치는 중에도 LFP 등 폭넓은 제품군을 갖추는 데는 소홀하지 않고 있다. 완성차 업체들이 전기차가 내연기관보다 비싸다는 한계를... ",2024-07-03
LG 에너지솔루션,테슬라 10%대 급등에…2차전지주 ‘빨간불’[특징주],http://www.edaily.co.kr/news/newspath.asp?newsid=01705606638950912," 마켓포인트에 따르면 이날 오전 9시 3분 현재 LG에너지솔루션(373220)은 전 거래일 대비 4.66% 오른 35만 9500원에 거래되고 있다. 이외 SK이노베이션(096770)(2.59%), 삼성SDI(006400)(2.13%), POSCO홀딩스(005490)(1.50%), LG화학(051910)(2.97%), 포스코퓨처엠(003670)(3.05%), 에코프로비엠(247540)(3.01%) 등 2차전지주가... ",2024-07-03
LG 에너지솔루션,"""새로운 길 개척"" 현대차그룹, 인니서 배터리-전기차 잇는 생태계 조성",http://www.edaily.co.kr/news/newspath.asp?newsid=02522326638950912, 현대차그룹은 LG에너지솔루션과 합작해 인도네시아 현지에 세운 배터리셀 공장 ‘HLI그린파워’에서 생산한 고성능 NCMA(니켈·코발트·망간·알루미늄) 리튬이온 배터리셀을 현대차 인도네시아 공장에 공급할 예정이다. 현대차 인도네시아 공장에서는 이를 장착한 전기차 ‘디 올 뉴 코나 일렉트릭’ 양산을... ,2024-07-03
LG 에너지솔루션,"현대차그룹, 인니에 배터리셀-전기차 생산체제 구축",https://www.naeil.com/news/read/515472?ref=naver, 현대차그룹은 LG에너지솔루션과 합작한 배터리셀 공장 ‘HLI 그린파워’를 준공했다. 현대차 인도네시아공장은 HLI 그린파워에서 생산한 배터리셀을 장착해 ‘디 올 뉴 코나 일렉트릭’을 17일부터 양산한다. 현대차 인도네시아 공장(HMMI)에서 시범 생산중인 더 뉴 코나 일렉트릭의 차체 하부에 배터리를... ,2024-07-03
LG 에너지솔루션,韓 배터리 3사 점유율 20%도 못 지킬 위기,https://it.chosun.com/news/articleView.html?idxno=2023092118831, 국내 배터리 3사(LG에너지솔루션·삼성SDI·SK온)가 전기차 배터리 사용량 시장 점유율 20%대를 지키지 못할 위기다. 중국에서 전기차 시장 성장이 견조한 가운데 미국·유럽 등에서 시장 둔화가 지속되고 있어서다. 3일 에너지 전문 시장조사업체 SNE리서치에 따르면 국내 배터리 3사의... ,2024-07-03
LG 에너지솔루션,"한경협, 韓-호주 경협위와 공급망 분과위원회 개최",http://www.edaily.co.kr/news/newspath.asp?newsid=01863046638950912," 한국 측에선 김창범 한경협 상근부회장과 함께 LG에너지솔루션(373220), LX인터내셔널(001120), 한국광해광업공단, 한국지질자원연구원 등 주요 기업이 참석해 한-호주 공급망 협력 방안과 현지 사업 전략에 관한 의견을 나눴다. 김창범 상근부회장은 “핵심광물과 에너지 자원이 주축이 된 양국의 교역은... ",2024-07-03
LG 에너지솔루션,"'캐즘' 빠진 이차전지, 수출 바닥 찍었나…두달 연속 증가",https://www.yna.co.kr/view/AKR20240702142200003?input=1195m, 업계에 따르면 LG에너지솔루션은 오는 8월부터 오창 에너지플랜트에서 차세대 제품인 원통형 4680(지름 46mm·길이 80mm) 배터리를 양산한다. 4680 배터리는 테슬라 등에 공급될 것으로 알려졌다. 아울러 이차전지 완제품 가격과 연동되는 리튬 등 핵심광물 가격은 여전히 작년 고점 대비 낮게 유지되고 있지만... ,2024-07-03
LG 에너지솔루션,정의선 “인니와 EV 미래 동행…수소·AAM 등 새 영역 개척”,https://www.dt.co.kr/contents.html?article_no=2024070302109932091006&ref=naver," 한국 측에서는 정 회장를 비롯해 장재훈 현대차 사장, 김동명 LG에너지솔루션 사장을 비롯한 관계자와 정인교 통상교섭본부장, 이상덕 주인도네시아 대사 등 한국 정부 인사가 자리에 함께 했다. HLI그린파워는 현대차그룹이 LG에너지솔루션과 합작한 배터리셀 공장이다. 이곳에서 생산된 배터리셀은 현대차... ",2024-07-03
LG 에너지솔루션,"현대차그룹, 인도네시아 베터리셀 합작공장 준공",https://dealsite.co.kr/articles/124848, 현대차그룹은 LG에너지솔루션과 합작한 배터리셀 공장 'HLI그린파워'(Hyundai LG Indonesia Green Power)를 준공했다고 3일 밝혔다. 현대차 인도네시아 공장은 HLI그린파워에서 생산한 배터리셀을 장착해 '디 올 뉴 코나 일렉트릭'(The all-new KONA Electric) 양산을 시작한다. 인도네시아 카라왕 신산업단지(KNIC)에서 열린... ,2024-07-03
LG 에너지솔루션,"현대차, 인니에 배터리-전기차 생산체제 완성… ""아세안 핵심 기반""",https://biz.newdaily.co.kr/site/data/html/2024/07/03/2024070300175.html, LG에너지솔루션과 합작한 배터리셀 공장 ‘HLI그린파워(Hyundai LG Indonesia Green Power)’를 준공에 따른 것으로 이곳에서 생산한 배터리셀을 장착한 ‘디 올 뉴 코나 일렉트릭(The all-new KONA Electric)’ 양산을 시작한다. 아시아 최초로 전기차 배터리셀부터 완성차까지 현지에서 일괄 생산 시스템을 갖추게 된... ,2024-07-03
LG 에너지솔루션,"LG에너지솔루션, 실적 개선은 하반기 이후…목표가 6.5%↓-대신",http://www.edaily.co.kr/news/newspath.asp?newsid=01430086638950912, 신한투자증권은 3일 LG에너지솔루션(373220)에 대해 실적 개선은 하반기 이후로 가능할 것으로 전망하며 ‘매수’ 투자의견을 유지하고 목표가를 종전 46만원에서 43만원으로 하향 조정한다고 밝혔다. 전일 종가는 34만 3500원이다. 정용진 신한투자증권 연구원은 2분기 LG에너지솔루션의 매출을 전년 동기... ,2024-07-03
LG 에너지솔루션,"“LG에너지솔루션, 전기차 수요 약세에 실적 뒷걸음질”…목표가↓",https://www.mk.co.kr/article/11057273, 신한투자증권은 3일 LG에너지솔루션에 대해 올 2분기 실적이 시장기대치를 하회할 전망이라며 목표주가를 기존 46만원에서 43만원으로 하향 조정했다. 투자의견은 ‘매수’를 유지했다. 신한투자증권은 LG에너지솔루션의 2분기 영업이익을 전년동기대비 55% 감소한 2091억원으로 추정했다. 이는 시장... ,2024-07-03
LG 에너지솔루션,"현대차, ‘아세안 핵심’ 인도네시아서 배터리셀-전기차 첫 일관 생산",https://www.joongang.co.kr/article/25260963, 현대차그룹은 3일 LG에너지솔루션과 합작한 배터리셀 공장 HLI그린파워(Hyundai LG Indonesia Green Power) 준공식을 열었다고 밝혔다. HLI그린파워는 매년 전기차 15만대 이상에 탑재할 배터리를 생산할 수 있다. 현대차 인도네시아 공장은 HLI그린파워에서 생산한 배터리를 장착한 ‘디 올 뉴 코나 일렉트릭’ 양산을... ,2024-07-03
LG 에너지솔루션,"정의선 ""전기차·배터리 동시 생산...내재화로 캐즘 극복""",https://daily.hankooki.com/news/articleView.html?idxno=1101875, LG에너지솔루션과 배터리셀 공장을 합작 설립하고 직접 공급한다. 현대차그룹은 3일(현지시간) 인도네시아 카라왕 신산업단지(KNIC)에 위치한 HLI그린파워에서 인도네시아 전기차 생태계 완성 기념식을 개최했다고 밝혔다. 최근 LG에너지솔루션과 합작한 배터리셀 공장 HLI그린파워를 준공했다. 여기서 생산한... ,2024-07-03
LG 에너지솔루션,현지 니켈로 전기차 생산…현대·LG 손잡고 동남아 공략,https://news.tvchosun.com/site/data/html_dir/2024/07/03/2024070390200.html," 현대자동차와 LG에너지솔루션이 인도네시아에서 전기차 생산에 손을 맞잡았습니다. 현지에서 배터리 생산과 자동차 조립까지 일괄 체제를 갖춘 건 이번이 처음인데, 원료 수급에 대한 중국 의존도를 낮추고 동남아시아 시장 개척의 교두보까지 확보했다는 점에서 의미가 큽니다. 인도네시아 현지에서 장혁수... ",2024-07-03
LG 에너지솔루션,"전기차 배터리 시장, 캐즘에도 23%↑…K-배터리 점유율 22.3%",https://www.news1.kr/articles/5467565, 다만 국내 배터리 3사(LG에너지솔루션·삼성SDI·SK온)의 시장 점유율은 같은 기간 소폭 하락한 것으로 나타났다. 3일 시장조사기관 SNE리서치에 따르면 올해 1~5월 세계 각국에 등록된 순수전기차(EV)·플러그인하이브리드차(PHEV)·하이브리드차(HEV)에 탑재된 총 배터리 사용량은 약 285.... ,2024-07-03
LG 에너지솔루션,"현대차그룹, 인니서 '배터리셀-전기차' 생산체제 구축",https://www.nocutnews.co.kr/news/6171729?utm_source=naver&utm_medium=article&utm_campaign=20240703044242, 현대차그룹은 LG에너지솔루션과 합작한 배터리셀 공장 'HLI그린파워'(Hyundai LG Indonesia Green Power)를 준공했다고 3일 밝혔다. 현대차 인도네시아공장은 HLI그린파워에서 생산한 배터리셀을 장착해 '디 올 뉴 코나 일렉트릭'의 양산을 시작한다. 이에 따라 현대차그룹은 인도네시아 최초로 전기차 배터리셀부터... ,2024-07-03
